,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Car/Suv_1
0,68,43,2,509,0,1,2.2,1,1,8.7,5595.0,5.0,4.0,6,4,7,51990.0,2
1,46,43,0,227,2,1,1.5,2,7,6.7,16.0,5.0,4.0,3,5,5,19990.0,2
3,51,32,1,161,2,1,5.5,4,7,11.0,136517.0,5.0,8.0,2,2,4,32990.0,2
4,62,43,2,469,2,1,1.3,2,8,6.0,1035.0,5.0,4.0,6,4,5,34990.0,1
6,43,38,2,469,2,1,2.0,1,1,5.1,67662.0,5.0,4.0,6,2,4,62280.0,1
7,54,21,0,227,2,1,1.6,2,8,8.0,300539.0,5.0,4.0,3,5,5,2995.0,2
8,73,34,1,161,2,1,2.0,4,7,7.1,82012.0,5.0,4.0,2,2,4,24888.0,2
9,30,35,0,227,2,1,1.3,2,3,4.5,38229.0,5.0,4.0,3,5,5,17900.0,2
11,73,39,1,154,2,1,2.7,4,8,9.8,16324.0,5.0,4.0,0,4,2,41999.0,2
14,73,37,1,154,2,1,3.0,4,1,8.0,229829.0,5.0,4.0,0,4,2,27995.0,2
15,74,33,1,227,2,1,1.4,2,7,6.2,55676.0,5.0,4.0,3,5,5,14999.0,2
16,4,35,1,469,2,1,2.0,0,1,5.6,82624.0,5.0,4.0,6,4,5,24985.0,1
18,4,32,1,227,2,1,2.0,4,1,5.4,95204.0,5.0,4.0,3,5,5,13999.0,2
19,20,35,0,227,2,1,1.0,2,8,5.4,76289.0,5.0,3.0,3,5,5,12400.0,2
20,53,33,1,469,2,1,2.4,1,8,7.5,219681.0,5.0,4.0,6,4,7,13999.0,1
21,20,34,0,227,2,1,1.6,2,8,6.1,98079.0,5.0,4.0,3,5,5,11999.0,2
23,30,39,0,227,2,1,1.5,2,8,5.8,43274.0,5.0,4.0,3,5,5,19900.0,2
24,69,33,1,469,2,1,2.5,1,7,8.4,105672.0,5.0,4.0,6,4,5,17990.0,1
25,53,39,0,227,2,1,1.2,2,8,4.7,36836.0,5.0,3.0,3,5,5,14995.0,2
26,73,26,1,475,2,1,2.4,2,8,9.8,115821.0,5.0,4.0,7,4,5,8499.0,2
28,32,32,0,475,2,1,2.4,2,8,7.9,189711.0,5.0,4.0,7,4,5,12990.0,2
29,20,36,0,469,2,1,2.7,4,1,8.2,173786.0,5.0,6.0,6,4,7,16999.0,1
30,54,39,1,469,2,1,2.0,2,8,6.9,114301.0,5.0,4.0,6,4,5,21950.0,1
31,74,34,1,227,2,2,2.0,2,7,6.6,69197.0,5.0,4.0,3,5,5,24880.0,2
